"product_id","product_name","category","list_price","description"
"P-100","Barista Pro Espresso Machine","kitchen","449.0","Dual boiler espresso machine with 58 mm portafilter, PID temperature control and a commercial steam wand."
"P-101","AuroraSound ANC Headphones","audio","229.0","Over-ear wireless headphones with adaptive noise cancellation, 60 hour battery and multipoint pairing."
"P-102","Transit 32L Carry-On Backpack","travel","159.0","Clamshell travel backpack with a padded 16 inch laptop sleeve, luggage pass-through and water resistant shell."
"P-103","Elevate Standing Desk 160","furniture","699.0","Dual motor sit-stand desk, 62 to 128 cm range, 120 kg load rating and four position memory."
"P-104","ClearView 27 4K Monitor","displays","579.0","27 inch 4K IPS display, 99 percent sRGB, factory calibrated, 90 W USB-C power delivery docking."
"P-105","VortexBlend 1200","kitchen","129.0","1200 W blender with a 2 litre tritan jug, six speeds and a pulse programme for frozen ingredients."
"P-106","InsightHub Analytics Suite","software","49.0","Subscription analytics platform with scheduled reporting, role based access control and REST API."
"P-107","ThermoSmart Connect","smart home","189.0","Wi-Fi smart thermostat with geofencing, weekly scheduling and open window detection."
"P-108","KeyForge 75 Mechanical Keyboard","peripherals","149.0","75 percent hot swappable mechanical keyboard, aluminium case, tri-mode wireless and south facing RGB."
"P-109","AuroraSound Studio Headset","audio","119.0","Wired studio headset with a detachable cardioid boom microphone and velour earpads."
