"ticket_id","customer_id","created_date","category","priority","ticket_text"
"5001","C-3001","2026-02-01","billing","high","I was charged twice for the February invoice, order 88241. The second charge of 149.00 USD appeared two hours after the first. Please reverse it."
"5002","C-3002","2026-02-01","technical","critical","Production ETL job has been failing since the 3.2 firmware rollout. Error is CONNECTION_RESET on every sync after 04:00 UTC. This is blocking our nightly reporting."
"5003","C-3003","2026-02-02","shipping","medium","Tracking has said out for delivery for four days. Carrier says the parcel was handed back to the sender. I need either a delivery date or a refund."
"5004","C-3004","2026-02-02","account","low","Can you help me add two more seats to our team plan and move billing to annual? We are on the growth tier."
"5005","C-3005","2026-02-03","technical","high","The mobile app crashes on launch on Android 15. Clearing cache does not help. Reinstalling works for one session then it crashes again."
"5006","C-3006","2026-02-03","billing","medium","Our purchase order number is missing from invoice INV-2026-0442, so our finance team cannot process payment. Please reissue with PO 7731-B."
"5007","C-3007","2026-02-04","product","low","Is there a way to export report data to Parquet rather than CSV? We are loading it into a lakehouse and CSV is costing us a conversion step."
"5008","C-3008","2026-02-04","technical","critical","Complete outage on our production tenant since 09:12 UTC. All API calls return 503. We have 400 users affected and an SLA breach starting at 10:12."
"5009","C-3009","2026-02-05","shipping","high","Delivered parcel was empty, just packaging material and the seal was cut. Value of the missing item is 620 USD. I have photos and the courier signature."
"5010","C-3010","2026-02-05","account","medium","Former employee still has admin access after offboarding. We need her SSO account disabled immediately and an audit of her recent activity."
"5011","C-3011","2026-02-06","product","low","Feature request: allow scheduled reports to be sent to a shared mailbox rather than a single named user."
"5012","C-3012","2026-02-06","billing","high","We cancelled in December but were billed again in January and February. Requesting a full refund of 1,298.00 USD and written confirmation of cancellation."
